id,created_at,title,download_link,image_url,genre,description,rating,year,season,episode,metatags,telegram_link,download_count
13,2026-07-02 20:20:47.74712+00,Sons of Anarchy,https://vtzndlehoqopaxdxmwim.supabase.co/storage/v1/object/public/pixelpoplk/SOA_S01_E01_Sinhala.zip?download,https://image.tmdb.org/t/p/original/kiy8BHtIHAslh81rvFcZ4wbNGdY.jpg,"Action, Crime ,Drama, Tragedy","Sons of Anarchy (SAMCRO)  ☠️ සැබෑ සහෝදරත්වයේ සහ අපරාධ ලෝකයේ දරුණුතම සටන

​Breaking Bad, Peaky Blinders, Banshee වගේ Extreme Drama සහ Crime සීරීස් බලන්න ආස කරන කෙනෙක් නම්, Sons of Anarchy (SOA) කියන්නේ අනිවාර්යයෙන්ම මඟනොහැරිය යුතු Masterpiece එකක්. 💯

IMDb දර්ශකයේ 8.5/10 ක ඉහළම අගයක් ලබාගනිමින්, ලොව පුරා මිලියන ගණනක ප්‍රේක්ෂක ආකර්ෂණයක් දිනාගත් මේ කතාමාලාව, සාමාන්‍ය ටීවී සීරීස් එකකට වඩා එහා ගිය වෙනස්ම අත්දැකීමක්!❤️

​කතාව මොකක්ද?🔰

​කාලිෆෝනියාවේ ""චාමිං"" (Charming) කියන කුඩා නගරය කේන්ද්‍ර කරගෙන, නීතියට පිටින් මෝටර් සයිකල් පදවන කල්ලියක් (Outlaw Motorcycle Club) වන SAMCRO (Sons of Anarchy Motorcycle Club, Redwood Original) වටා තමයි මේ කතාව ගෙතෙන්නේ. බැලූ බැල්මට මෝටර් සයිකල් සමාජ ශාලාවක් වුණත්, තිරය පිටුපස මොවුන් මහා පරිමාණ නීතිවිරෝධී අවි ආයුධ ජාවාරමක නිරත වෙනවා.
​කල්ලියේ උප සභාපති වෙන තරුණ, බුද්ධිමත් Jax Teller ට තමන්ගේ මියගිය පියා ලියපු රහස් දිනපොතක් හමුවීමත් එක්ක මුළු කතාවම වෙනස් මඟකට හැරෙනවා. ක්ලබ් එකේ වර්තමාන ක්‍රියාකලාපය සහ තමන්ගේ පියාගේ සැබෑ දැක්ම අතර අතරමං වන ජැක්ස්ට, තමන්ගේ පවුල ආරක්ෂා කරගනිමින් මේ දරුණු අපරාධ ලෝකයේ කරන වැඩ ගැන තමයි කතාවේ තියෙන්නේ.🔥

නීතිය, අපරාධ කල්ලි, පොලිසිය සහ පවුල අතර මැද දෝලනය වන මේ Tv series එක, 
කුතුහලයෙන් යුතුව සිංහල substitute එක්ක  රස විදින්න.👈",8.5,2008,1,1,"<meta name=""keywords"" content=""Sons of Anarchy Season [X] Episode [Y], Sons of Anarchy Sinhala Subtitles, Sons of Anarchy [X]x[Y] sub, Watch Sons of Anarchy online, SAMCRO, Jax Teller, TV Series Sinhala Sub, Sons of anarchy download, [pixelpoplk]"">",https://telegram.me/PixelPopLk_bot?start=f4665c39-c37c-4b24-81aa-b8c839a45e6d,54
14,2026-07-05 19:07:04.212977+00,House Of The Dragon,https://vtzndlehoqopaxdxmwim.supabase.co/storage/v1/object/public/pixelpoplk/House%20of%20the%20dragon/House_of_the_Dragon_S03E03_57837.zip?download,https://image.tmdb.org/t/p/original/wSvDQN6tZR4VzDDZD3MUPIghVjC.jpg,"Tv series,drama,fantasy,adventure,action","House of the Dragon තුන්වෙනි සීසන් එකේ තුන්වෙනි එපිසෝඩ් එකට සබ් එක තමයි මේ ගෙනාවේ. කලින් එපිසෝඩ් එකේදී ඒමොන්ඩ් වේගාර් එක්ක හැරන්හෝල් වලට ගියපු වෙලාවෙන් ප්‍රයෝජන අරගෙන, ඇලිසන්ට්ගේ සහ හෙලේනාගේ සහයෝගයත් එක්ක කිසිම කරදරයක් නැතුව රෙනයිරා King's Landing නුවර බලය අතට ගත්තා මතකනේ. ඔටෝ හයිටවර්ට දඬුවම් දීලා Iron Throne එකේ බලය පිහිටෙව්වත්, ඒගොන්වයි ලැරිස්වයි කොටුකරගන්න බැරි වුණා. රෙනයිරාට මේ අලුත් බලය කොහොම පාලනය කරන්න වෙයිද, ඒ වගේම හැරන්හෝල් ගිය ඒමන්ඩ්ට මීලගට මොකක් වෙයිද කියලා මේ කොටසින් බලාගන්න පුළුවන්.

​මේකේ Direct sub එක පහළින්ම ඩවුන්ලෝඩ් කරගන්න පහසුකම තියෙනවා. ඒ වගේම Telegram එකෙන් 720p, 1080p සහ 4K අලුත්ම WEB-DL වීඩියෝ පිටපත් එක්කම සබ් එකත් ලේසියෙන්ම අරගෙන සිංහල උපසිරැසි එක්කම කතාව රසවිඳින්නත් පුළුවන්.

ඊලග  Episode එකත් ඉක්මනින්ම ලබාගන්න අපේ Telegram channel එකට සහ Fb page එකට join වෙලා ඉන්න යාලුවනේ. ඒවගේම ගැටලු ඇත්නම් Request  එකක් යොමු කරන්න.",8.3,2026,3,3,"<meta name=""description"" content=""House of the Dragon Season 3 Episode 3 Sinhala Subtitle. Telegram එකෙන් 720p, 1080p, 4K WEB-DL පිටපත් සහ සිංහල උපසිරැසි සෘජුවම බාගත කරගන්න.""> <meta name=""keywords"" content=""House of the Dragon S03E03 Sinhala Sub, HOTD Season 3 Episode 3 Sinhala Subtitle, House of the Dragon Telegram, HOTD S3E3 WEB-DL, Sinhala Subtitles"">",https://telegram.me/PixelPopLk_bot?start=f9e601f7-50c8-43e8-9141-3b0c257224c5,9
15,2026-07-06 17:23:49.258164+00,Sons Of Anarchy,https://vtzndlehoqopaxdxmwim.supabase.co/storage/v1/object/public/pixelpoplk/SOA/Sons_Of_Anarchy_S01E02_3691.zip?download,https://image.tmdb.org/t/p/original/kiy8BHtIHAslh81rvFcZ4wbNGdY.jpg,"Tv series,action,crime,drama,triller","📥 Subtitles සහ Movies/TV Series පහසුවෙන්ම Download කරගන්නේ කෙසේද?
1. වෙබ් අඩවියෙන් Subtitles ලබාගැනීමට:
පියවර 01: මුලින්ම Dirrect Download Button එක ක්ලික් කරන්න.
පියවර 02: ඉන්පසු තත්පර 5ක් රැඳී සිට, නැවත Back වන්න (Navigate back).
පියවර 03: දැන් Start Download ක්ලික් කරන්න. එවිට Subtitle ෆයිල් එක Zip File එකක් ලෙස ඩවුන්ලෝඩ් වේවි.
භාවිතා කරන ආකාරය: එම Zip ෆයිල් එක Extract (Unzip) කර, ඔබගේ Video Player එකට Add කරගෙන උපසිරැසි සමඟින් රසවිඳින්න.
2. Telegram හරහා Direct ලබාගැනීමට:
මෙහි ඇති Telegram Download Button එක ක්ලික් කරන්න.
එවිට අපගේ Telegram Bot මඟින් අදාළ Subtitle ෆයිල් එක සහ ඒ හා සබැඳි Movie හෝ TV Series Episode එක සෘජුවම ඔබට ලබා දෙනු ඇත.
එතැනින් ඉතා පහසුවෙන් ඩවුන්ලෝඩ් කර නැරඹීමේ හැකියාව පවතී.
📌 අලුත්ම Updates ලබාගැනීමට:
චිත්‍රපට සහ ටෙලි කථා මාලාවල අලුත්ම Updates සහ Subtitles ක්ෂණිකව ලබාගැනීමට දැන්ම අපගේ Telegram Channel එකට සහ FB Page එකට Join වෙන්න! 🎬",8.5,2008,1,2,"<meta name=""keywords"" content=""Sons of Anarchy Season [X] Episode [Y], Sons of Anarchy Sinhala Subtitles, Sons of Anarchy [X]x[Y] sub, Watch Sons of Anarchy online, SAMCRO, Jax Teller, TV Series Sinhala Sub, Sons of anarchy download, [pixelpoplk]"">",https://telegram.me/PixelPopLk_bot?start=7ff27dce-8815-46de-945d-f82fd1cabeba,25
16,2026-07-06 18:51:33.429257+00,Sons of Anarchy,https://vtzndlehoqopaxdxmwim.supabase.co/storage/v1/object/public/pixelpoplk/SOA/Sons_Of_Anarchy_S01E03_3616.zip?download,https://image.tmdb.org/t/p/original/kiy8BHtIHAslh81rvFcZ4wbNGdY.jpg,"Action, Crime ,Drama, Tragedy","📥 Subtitles සහ Movies/TV Series පහසුවෙන්ම Download කරගන්නේ කෙසේද?
1. වෙබ් අඩවියෙන් Subtitles ලබාගැනීමට:
පියවර 01: මුලින්ම Dirrect Download Button එක ක්ලික් කරන්න.
පියවර 02: ඉන්පසු තත්පර 5ක් රැඳී සිට, නැවත Back වන්න (Navigate back).
පියවර 03: දැන් Start Download ක්ලික් කරන්න. එවිට Subtitle ෆයිල් එක Zip File එකක් ලෙස ඩවුන්ලෝඩ් වේවි.
භාවිතා කරන ආකාරය: එම Zip ෆයිල් එක Extract (Unzip) කර, ඔබගේ Video Player එකට Add කරගෙන උපසිරැසි සමඟින් රසවිඳින්න.
2. Telegram හරහා Direct ලබාගැනීමට:
මෙහි ඇති Telegram Download Button එක ක්ලික් කරන්න.
එවිට අපගේ Telegram Bot මඟින් අදාළ Subtitle ෆයිල් එක සහ ඒ හා සබැඳි Movie හෝ TV Series Episode එක සෘජුවම ඔබට ලබා දෙනු ඇත.
එතැනින් ඉතා පහසුවෙන් ඩවුන්ලෝඩ් කර නැරඹීමේ හැකියාව පවතී.
📌 අලුත්ම Updates ලබාගැනීමට:
චිත්‍රපට සහ ටෙලි කථා මාලාවල අලුත්ම Updates සහ Subtitles ක්ෂණිකව ලබාගැනීමට දැන්ම අපගේ Telegram Channel එකට සහ FB Page එකට Join වෙන්න! 🎬",8.5,2008,1,3,"<meta name=""keywords"" content=""Sons of Anarchy Season [X] Episode [Y], Sons of Anarchy Sinhala Subtitles, Sons of Anarchy [X]x[Y] sub, Watch Sons of Anarchy online, SAMCRO, Jax Teller, TV Series Sinhala Sub, Sons of anarchy download, [pixelpoplk]"">",https://telegram.me/PixelPopLk_bot?start=918d3874-2498-4380-9c70-f1602024c58e,22
17,2026-07-06 18:51:33.429257+00,Sons of Anarchy,https://vtzndlehoqopaxdxmwim.supabase.co/storage/v1/object/public/pixelpoplk/SOA/Sons_Of_Anarchy_S01E04_4855.zip?download,https://image.tmdb.org/t/p/original/kiy8BHtIHAslh81rvFcZ4wbNGdY.jpg,"Action, Crime ,Drama, Tragedy","📥 Subtitles සහ Movies/TV Series පහසුවෙන්ම Download කරගන්නේ කෙසේද?
1. වෙබ් අඩවියෙන් Subtitles ලබාගැනීමට:
පියවර 01: මුලින්ම Dirrect Download Button එක ක්ලික් කරන්න.
පියවර 02: ඉන්පසු තත්පර 5ක් රැඳී සිට, නැවත Back වන්න (Navigate back).
පියවර 03: දැන් Start Download ක්ලික් කරන්න. එවිට Subtitle ෆයිල් එක Zip File එකක් ලෙස ඩවුන්ලෝඩ් වේවි.
භාවිතා කරන ආකාරය: එම Zip ෆයිල් එක Extract (Unzip) කර, ඔබගේ Video Player එකට Add කරගෙන උපසිරැසි සමඟින් රසවිඳින්න.
2. Telegram හරහා Direct ලබාගැනීමට:
මෙහි ඇති Telegram Download Button එක ක්ලික් කරන්න.
එවිට අපගේ Telegram Bot මඟින් අදාළ Subtitle ෆයිල් එක සහ ඒ හා සබැඳි Movie හෝ TV Series Episode එක සෘජුවම ඔබට ලබා දෙනු ඇත.
එතැනින් ඉතා පහසුවෙන් ඩවුන්ලෝඩ් කර නැරඹීමේ හැකියාව පවතී.
📌 අලුත්ම Updates ලබාගැනීමට:
චිත්‍රපට සහ ටෙලි කථා මාලාවල අලුත්ම Updates සහ Subtitles ක්ෂණිකව ලබාගැනීමට දැන්ම අපගේ Telegram Channel එකට සහ FB Page එකට Join වෙන්න! 🎬",8.5,2008,1,4,"<meta name=""keywords"" content=""Sons of Anarchy Season [X] Episode [Y], Sons of Anarchy Sinhala Subtitles, Sons of Anarchy [X]x[Y] sub, Watch Sons of Anarchy online, SAMCRO, Jax Teller, TV Series Sinhala Sub, Sons of anarchy download, [pixelpoplk]"">",https://telegram.me/PixelPopLk_bot?start=5aacabbc-f883-47b3-8574-4d7449843821,26
18,2026-07-06 18:51:33.429257+00,Sons of Anarchy,https://vtzndlehoqopaxdxmwim.supabase.co/storage/v1/object/public/pixelpoplk/SOA/Sons_Of_Anarchy_S01E05_1485.zip?download,https://image.tmdb.org/t/p/original/kiy8BHtIHAslh81rvFcZ4wbNGdY.jpg,"Action, Crime ,Drama, Tragedy","📥 Subtitles සහ Movies/TV Series පහසුවෙන්ම Download කරගන්නේ කෙසේද?
1. වෙබ් අඩවියෙන් Subtitles ලබාගැනීමට:
පියවර 01: මුලින්ම Dirrect Download Button එක ක්ලික් කරන්න.
පියවර 02: ඉන්පසු තත්පර 5ක් රැඳී සිට, නැවත Back වන්න (Navigate back).
පියවර 03: දැන් Start Download ක්ලික් කරන්න. එවිට Subtitle ෆයිල් එක Zip File එකක් ලෙස ඩවුන්ලෝඩ් වේවි.
භාවිතා කරන ආකාරය: එම Zip ෆයිල් එක Extract (Unzip) කර, ඔබගේ Video Player එකට Add කරගෙන උපසිරැසි සමඟින් රසවිඳින්න.
2. Telegram හරහා Direct ලබාගැනීමට:
මෙහි ඇති Telegram Download Button එක ක්ලික් කරන්න.
එවිට අපගේ Telegram Bot මඟින් අදාළ Subtitle ෆයිල් එක සහ ඒ හා සබැඳි Movie හෝ TV Series Episode එක සෘජුවම ඔබට ලබා දෙනු ඇත.
එතැනින් ඉතා පහසුවෙන් ඩවුන්ලෝඩ් කර නැරඹීමේ හැකියාව පවතී.
📌 අලුත්ම Updates ලබාගැනීමට:
චිත්‍රපට සහ ටෙලි කථා මාලාවල අලුත්ම Updates සහ Subtitles ක්ෂණිකව ලබාගැනීමට දැන්ම අපගේ Telegram Channel එකට සහ FB Page එකට Join වෙන්න! 🎬",8.5,2008,1,5,"<meta name=""keywords"" content=""Sons of Anarchy Season [X] Episode [Y], Sons of Anarchy Sinhala Subtitles, Sons of Anarchy [X]x[Y] sub, Watch Sons of Anarchy online, SAMCRO, Jax Teller, TV Series Sinhala Sub, Sons of anarchy download, [pixelpoplk]"">",https://telegram.me/PixelPopLk_bot?start=185c4b26-b940-4d53-8bf2-d61a519f6c36,24
19,2026-07-06 18:51:33.429257+00,Sons of Anarchy,https://vtzndlehoqopaxdxmwim.supabase.co/storage/v1/object/public/pixelpoplk/SOA/Sons_Of_Anarchy_S01E06_6892.zip?download,https://image.tmdb.org/t/p/original/kiy8BHtIHAslh81rvFcZ4wbNGdY.jpg,"Action, Crime ,Drama, Tragedy","📥 Subtitles සහ Movies/TV Series පහසුවෙන්ම Download කරගන්නේ කෙසේද?
1. වෙබ් අඩවියෙන් Subtitles ලබාගැනීමට:
පියවර 01: මුලින්ම Dirrect Download Button එක ක්ලික් කරන්න.
පියවර 02: ඉන්පසු තත්පර 5ක් රැඳී සිට, නැවත Back වන්න (Navigate back).
පියවර 03: දැන් Start Download ක්ලික් කරන්න. එවිට Subtitle ෆයිල් එක Zip File එකක් ලෙස ඩවුන්ලෝඩ් වේවි.
භාවිතා කරන ආකාරය: එම Zip ෆයිල් එක Extract (Unzip) කර, ඔබගේ Video Player එකට Add කරගෙන උපසිරැසි සමඟින් රසවිඳින්න.
2. Telegram හරහා Direct ලබාගැනීමට:
මෙහි ඇති Telegram Download Button එක ක්ලික් කරන්න.
එවිට අපගේ Telegram Bot මඟින් අදාළ Subtitle ෆයිල් එක සහ ඒ හා සබැඳි Movie හෝ TV Series Episode එක සෘජුවම ඔබට ලබා දෙනු ඇත.
එතැනින් ඉතා පහසුවෙන් ඩවුන්ලෝඩ් කර නැරඹීමේ හැකියාව පවතී.
📌 අලුත්ම Updates ලබාගැනීමට:
චිත්‍රපට සහ ටෙලි කථා මාලාවල අලුත්ම Updates සහ Subtitles ක්ෂණිකව ලබාගැනීමට දැන්ම අපගේ Telegram Channel එකට සහ FB Page එකට Join වෙන්න! 🎬",8.5,2008,1,6,"<meta name=""keywords"" content=""Sons of Anarchy Season [X] Episode [Y], Sons of Anarchy Sinhala Subtitles, Sons of Anarchy [X]x[Y] sub, Watch Sons of Anarchy online, SAMCRO, Jax Teller, TV Series Sinhala Sub, Sons of anarchy download, [pixelpoplk]"">",https://telegram.me/PixelPopLk_bot?start=0de80f22-fdd8-478d-98c0-ea2b07e736a5,18
20,2026-07-06 18:51:33.429257+00,Sons of Anarchy,https://vtzndlehoqopaxdxmwim.supabase.co/storage/v1/object/public/pixelpoplk/SOA/Sons_Of_Anarchy_S01E07_8763.zip?download,https://image.tmdb.org/t/p/original/kiy8BHtIHAslh81rvFcZ4wbNGdY.jpg,"Action, Crime ,Drama, Tragedy","📥 Subtitles සහ Movies/TV Series පහසුවෙන්ම Download කරගන්නේ කෙසේද?
1. වෙබ් අඩවියෙන් Subtitles ලබාගැනීමට:
පියවර 01: මුලින්ම Dirrect Download Button එක ක්ලික් කරන්න.
පියවර 02: ඉන්පසු තත්පර 5ක් රැඳී සිට, නැවත Back වන්න (Navigate back).
පියවර 03: දැන් Start Download ක්ලික් කරන්න. එවිට Subtitle ෆයිල් එක Zip File එකක් ලෙස ඩවුන්ලෝඩ් වේවි.
භාවිතා කරන ආකාරය: එම Zip ෆයිල් එක Extract (Unzip) කර, ඔබගේ Video Player එකට Add කරගෙන උපසිරැසි සමඟින් රසවිඳින්න.
2. Telegram හරහා Direct ලබාගැනීමට:
මෙහි ඇති Telegram Download Button එක ක්ලික් කරන්න.
එවිට අපගේ Telegram Bot මඟින් අදාළ Subtitle ෆයිල් එක සහ ඒ හා සබැඳි Movie හෝ TV Series Episode එක සෘජුවම ඔබට ලබා දෙනු ඇත.
එතැනින් ඉතා පහසුවෙන් ඩවුන්ලෝඩ් කර නැරඹීමේ හැකියාව පවතී.
📌 අලුත්ම Updates ලබාගැනීමට:
චිත්‍රපට සහ ටෙලි කථා මාලාවල අලුත්ම Updates සහ Subtitles ක්ෂණිකව ලබාගැනීමට දැන්ම අපගේ Telegram Channel එකට සහ FB Page එකට Join වෙන්න! 🎬",8.5,2008,1,7,"<meta name=""keywords"" content=""Sons of Anarchy Season [X] Episode [Y], Sons of Anarchy Sinhala Subtitles, Sons of Anarchy [X]x[Y] sub, Watch Sons of Anarchy online, SAMCRO, Jax Teller, TV Series Sinhala Sub, Sons of anarchy download, [pixelpoplk]"">",https://telegram.me/PixelPopLk_bot?start=80a78a9e-758a-4de6-b390-bd65223d9a6d,19
21,2026-07-06 18:51:33.429257+00,Sons of Anarchy,https://vtzndlehoqopaxdxmwim.supabase.co/storage/v1/object/public/pixelpoplk/SOA/Sons_Of_Anarchy_S01E08_7873.zip?download,https://image.tmdb.org/t/p/original/kiy8BHtIHAslh81rvFcZ4wbNGdY.jpg,"Action, Crime ,Drama, Tragedy","📥 Subtitles සහ Movies/TV Series පහසුවෙන්ම Download කරගන්නේ කෙසේද?
1. වෙබ් අඩවියෙන් Subtitles ලබාගැනීමට:
පියවර 01: මුලින්ම Dirrect Download Button එක ක්ලික් කරන්න.
පියවර 02: ඉන්පසු තත්පර 5ක් රැඳී සිට, නැවත Back වන්න (Navigate back).
පියවර 03: දැන් Start Download ක්ලික් කරන්න. එවිට Subtitle ෆයිල් එක Zip File එකක් ලෙස ඩවුන්ලෝඩ් වේවි.
භාවිතා කරන ආකාරය: එම Zip ෆයිල් එක Extract (Unzip) කර, ඔබගේ Video Player එකට Add කරගෙන උපසිරැසි සමඟින් රසවිඳින්න.
2. Telegram හරහා Direct ලබාගැනීමට:
මෙහි ඇති Telegram Download Button එක ක්ලික් කරන්න.
එවිට අපගේ Telegram Bot මඟින් අදාළ Subtitle ෆයිල් එක සහ ඒ හා සබැඳි Movie හෝ TV Series Episode එක සෘජුවම ඔබට ලබා දෙනු ඇත.
එතැනින් ඉතා පහසුවෙන් ඩවුන්ලෝඩ් කර නැරඹීමේ හැකියාව පවතී.
📌 අලුත්ම Updates ලබාගැනීමට:
චිත්‍රපට සහ ටෙලි කථා මාලාවල අලුත්ම Updates සහ Subtitles ක්ෂණිකව ලබාගැනීමට දැන්ම අපගේ Telegram Channel එකට සහ FB Page එකට Join වෙන්න! 🎬",8.5,2008,1,8,"<meta name=""keywords"" content=""Sons of Anarchy Season [X] Episode [Y], Sons of Anarchy Sinhala Subtitles, Sons of Anarchy [X]x[Y] sub, Watch Sons of Anarchy online, SAMCRO, Jax Teller, TV Series Sinhala Sub, Sons of anarchy download, [pixelpoplk]"">",https://telegram.me/PixelPopLk_bot?start=d2ea6765-f918-47ee-8d84-b5bbc6a2a9e8,18
22,2026-07-06 18:51:33.429257+00,Sons of Anarchy,https://vtzndlehoqopaxdxmwim.supabase.co/storage/v1/object/public/pixelpoplk/SOA/Sons_Of_Anarchy_S01E09_1648.zip?download,https://image.tmdb.org/t/p/original/kiy8BHtIHAslh81rvFcZ4wbNGdY.jpg,"Action, Crime ,Drama, Tragedy","📥 Subtitles සහ Movies/TV Series පහසුවෙන්ම Download කරගන්නේ කෙසේද?
1. වෙබ් අඩවියෙන් Subtitles ලබාගැනීමට:
පියවර 01: මුලින්ම Dirrect Download Button එක ක්ලික් කරන්න.
පියවර 02: ඉන්පසු තත්පර 5ක් රැඳී සිට, නැවත Back වන්න (Navigate back).
පියවර 03: දැන් Start Download ක්ලික් කරන්න. එවිට Subtitle ෆයිල් එක Zip File එකක් ලෙස ඩවුන්ලෝඩ් වේවි.
භාවිතා කරන ආකාරය: එම Zip ෆයිල් එක Extract (Unzip) කර, ඔබගේ Video Player එකට Add කරගෙන උපසිරැසි සමඟින් රසවිඳින්න.
2. Telegram හරහා Direct ලබාගැනීමට:
මෙහි ඇති Telegram Download Button එක ක්ලික් කරන්න.
එවිට අපගේ Telegram Bot මඟින් අදාළ Subtitle ෆයිල් එක සහ ඒ හා සබැඳි Movie හෝ TV Series Episode එක සෘජුවම ඔබට ලබා දෙනු ඇත.
එතැනින් ඉතා පහසුවෙන් ඩවුන්ලෝඩ් කර නැරඹීමේ හැකියාව පවතී.
📌 අලුත්ම Updates ලබාගැනීමට:
චිත්‍රපට සහ ටෙලි කථා මාලාවල අලුත්ම Updates සහ Subtitles ක්ෂණිකව ලබාගැනීමට දැන්ම අපගේ Telegram Channel එකට සහ FB Page එකට Join වෙන්න! 🎬",8.5,2008,1,9,"<meta name=""keywords"" content=""Sons of Anarchy Season [X] Episode [Y], Sons of Anarchy Sinhala Subtitles, Sons of Anarchy [X]x[Y] sub, Watch Sons of Anarchy online, SAMCRO, Jax Teller, TV Series Sinhala Sub, Sons of anarchy download, [pixelpoplk]"">",https://telegram.me/PixelPopLk_bot?start=e71241ff-72a9-4cae-ad14-50583c0dc5c0,19
